orthosyll,syll,ortho_before,ortho_after,nb_usage
blaie,blE,dé,"",1
lies,ji,sail,"",2
tou,tu,mi,fler,1
min,m5,"",cis,2
nou,nu,re,vel,7
ber,bER,em,lu,1
four,fuR,"",cha,1
neau,no,geon,"",1
vioc,vjOk,"","",1
dées,de,co,"",3
va,va,ri,tions,1
pres,pRE,em,sais,1
deur,d9R,car,"",1
ra,Ra,"",flait,1
tai,tE,con,ners,1
dien,djE,gar,nait,1
dé,de,"",per,4
bants,b@,pro,"",1
jouis,Zwi,"",sais,1
si,zi,cui,niez,1
tri,tRi,dis,buait,2
cha,ka,bac,nal,1
mis,mi,ne,"",2
dui,d8i,tro,rais,1
taux,to,rié,"",1
glants,gl@,beu,"",1
abs,ap,"",tînt,1
veu,v9,a,gle,4
dé,de,"",sha,33
rin,R5,"",çais,1
té,te,bli,rons,1
sha,Sa,"",kos,1
pé,pe,ses,rai,1
fais,fE,grif,"",1
cu,ky,ti,ler,3
na,jo,clayon,ges,1
ri,Ri,bou,nait,1
tra,tRa,"",vées,1
trus,tRy,ven,"",1
fai,fe,af,rée,3
rais,RE,crée,"",1
voit,vwa,pour,"",1
va,va,gra,"",2
laud,lo,soû,"",1
mît,mi,dor,"",3
vouée,vwe,"","",2
cos,kOs,ac,taient,1
ras,Ra,pe,se,2
pa,pa,ap,ren,11
in,5,"",du,5
gieu,Zj2,di,se,1
cie,si,mer,ras,1
sé,se,pos,daient,1
jus,Zys,a,tons,1
te,n@t,nen,"",3
sa,sa,"",gard,1
nels,nEl,son,"",3
ge,Z°,sa,ment,1
cras,kRa,en,sées,2
tal,tal,"",quer,1
tu,ty,cos,mées,1
quée,ke,ni,"",4
ve,v°,ri,raient,1
ca,ka,pec,ble,1
sé,se,"",vrien,2
cre,kR°,â,ment,1
dos,do,en,sais,1
lar,laR,"",vées,1
re,R°,"",lents,1
tai,tE,"",saient,1
li,li,bi,sa,16
ris,Ri,le,"",1
ro,Ro,mé,tée,2
plon,pl§,"",geants,1
dés,de,bor,"",7
té,te,plé,"",1
la,la,en,cions,1
dron,dRo,gou,né,2
tou,tu,in,chée,1
lan,l@,"",gé,1
sis,zis,ré,tât,1
rée,Re,vé,"",3
te,t°,lo,rait,2
lo,lo,"",vé,1
meaux,mo,tru,"",1
lo,jo,pil,tants,1
dri,dRi,ten,rait,1
li,li,ti,sions,1
co,ko,"",or,19
chais,SE,flan,"",1
pées,pe,ju,"",1
fai,f°,"",seurs,1
en,@,"",cé,1
gniouf,Nuf,"","",1
na,na,"",geurs,1
bou,bu,em,ties,2
chi,ki,ma,no,1
gi,Zi,ma,naient,1
si,si,fos,li,3
ren,R@,cur,cé,1
ché,Se,pen,"",2
dis,di,bon,sez,1
lé,le,té,pho,29
trait,stRE,ex,"",3
ge,Z°,bou,rait,1
ce,zos,exau,"",1
chis,Si,flé,sant,4
chas,Sa,"",sée,2
nor,nOR,ra,mal,2
tants,t@,res,"",2
feur,f9R,sur,"",1
vre,vR°,cou,rez,1
pia,pja,o,cé,3
ta,ta,jo,"",1
su,sy,"",tu,4
dents,d@,tri,"",1
di,di,gran,"",2
rait,RE,plai,"",3
fons,f§,gref,"",1
ca,ka,"",mard,1
chaî,SE,dé,née,3
la,la,du,tion,3
dant,d@,sour,"",1
ma,ma,gri,çaient,1
fuis,f8i,en,"",1
vi,vi,ra,ne,2
sai,sE,lais,"",1
mi,mi,hu,liant,2
pro,pRo,"",saï,2
don,do,or,nez,2
çons,s§,poin,"",1
chez,Se,bran,"",3
lé,le,"",guées,1
é,e,"",chut,1
pro,pRo,ap,chez,1
ché,Se,pro,"",5
gris,gRi,gri,"",1
ton,to,mi,nées,1
rê,RE,ar,te,11
nait,nE,mar,"",1
funk,f1k,"","",1
dé,de,fé,rés,6
meur,m9R,hu,"",1
tif,tif,plain,"",1
cif,sif,pour,"",1
cons,k§s,"",truit,1
bri,bRi,"",dais,1
vau,vo,che,chez,1
tue,ty,pé,ra,1
dou,du,"",lou,2
plé,ple,tem,"",1
pho,fo,co,nie,2
te,t°,plé,ront,1
tion,sjo,cau,nez,1
mi,mi,la,née,1
fes,fEs,ni,tais,1
cep,sEp,ex,tée,2
quez,ke,brus,"",1
pli,pli,im,quer,1
aus,os,"",tral,1
tal,tal,fa,"",1
té,te,in,grée,4
la,la,tal,"",2
pa,pa,dra,"",1
ci,si,lu,di,3
nip,ni,"",pée,1
per,pe,cu,"",3
ri,Ri,do,fé,2
ta,ta,dap,teurs,1
fe,f°,re,ra,1
quais,kE,bra,"",1
chie,Si,"","",1
voi,vwa,pri,sés,1
te,t°,car,ront,1
no,no,a,din,1
mons,m§,gom,"",1
lier,lje,cou,"",1
ten,t@,po,sion,1
pairs,pER,"","",2
mier,mje,gou,"",1
né,ne,"",vro,6
que,k°,ni,ras,1
bouil,bu,cra,le,3
pu,py,é,rée,1
é,e,"",ty,3
lant,l@,piau,"",2
fo,fo,af,lais,1
crons,kR§,vain,"",2
pro,pRo,"",nun,1
né,ne,ban,"",4
peut,p2,"","",1
to,to,his,rien,2
de,de,mo,ra,1
cis,si,dou,saient,1
fal,fa,"",lût,1
phie,fi,or,"",1
class,klas,"","",1
re,R°,"",gard,1
ron,Ro,clai,na,1
se,s°,pres,rez,1
pres,pRe,dé,sion,1
frois,Rwa,dé,sai,1
quât,ka,mar,"",2
fions,fj§,cri,"",1
ras,Ra,de,"",26
diez,dje,plai,"",1
tis,ti,bo,"",1
naient,nE,jeû,"",1
tas,ta,en,sez,1
voi,vwa,dé,lons,1
en,@,"",tr'a,5
vais,vE,lo,"",1
bé,be,"",tel,1
mis,mi,vo,sant,3
sée,se,an,"",1
tu,ty,jec,rer,1
sant,s@,dris,"",2
boi,bwa,"",raient,1
va,va,a,lez,1
tieux,sj2,nu,"",1
ba,ba,"",dant,1
cou,ku,"",vet,1
ce,s°,re,vrons,1
mon,m§,re,tons,1
leux,l2,te,"",1
ra,Ra,ve,"",32
cu,ky,bas,lait,2
to,to,bi,niau,1
ai,e,"",mées,2
te,t°,quié,rai,1
cor,kOR,"",de,3
tais,tE,dra,"",1
blis,bli,ta,sons,2
char,SaR,"",nu,1
rou,Ru,ba,deurs,1
duc,dyk,bol,"",1
par,paR,im,tir,1
sant,s@,glous,"",2
zias,zja,raz,"",1
four,fuR,"",chue,1
ri,Ri,pour,"",3
so,so,es,raient,1
ront,R§,nie,"",4
ma,ma,zé,teux,2
sies,zi,pty,"",1
cu,ky,nu,rées,1
te,t°,sen,riez,1
chyon,kj§,ta,"",1
cor,kOR,é,chiez,1
grez,gRe,té,"",2
saient,zE,va,"",1
mu,my,em,ra,1
née,ne,pion,"",1
tels,tEl,car,"",1
no,no,pa,plie,1
rée,Re,fai,"",3
dait,dE,pan,"",2
son,so,"",na,1
é,e,"",mets,1
diez,dje,cé,"",2
quer,ke,si,"",1
gou,gu,lan,reux,1
gé,Ze,"",rant,2
ab,ab,"",jects,1
crou,kRu,"",lait,1
lants,l@,fo,"",1
faits,fE,for,"",1
ba,ba,"",veux,2
ne,n°,van,ries,1
ton,to,é,nais,1
coc,kOk,con,tion,1
lé,lE,al,ge,2
cia,sja,nun,mien,1
bi,bi,gour,"",1
taient,tE,go,"",3
rez,Re,vou,"",1
bé,be,tu,"",4
fe,f°,gra,rait,1
ai,e,"",der,1
ti,ti,cri,quiez,1
lon,l§,si,"",1
ti,ti,ra,fient,1
na,na,me,"",5
sa,sa,dos,"",2
gueurs,g9R,vi,"",1
mal,mal,"",veil,4
to,to,mé,ny,1
craies,kRE,"","",1
bi,bi,no,li,1
tra,tRa,man,"",1
chuin,S85,"",tants,1
ments,m@,ploie,"",1
tai,tE,"",rais,1
tée,te,ta,"",1
trou,tRu,"",bler,1
boi,bwa,"",té,1
rents,R@,cur,"",3
mant,m@,sias,"",2
tion,sjO,fonc,ne,8
foui,fwi,en,"",2
da,da,"",cron,1
tois,twa,ca,"",1
tés,te,pâ,"",4
tez,te,fes,"",1
le,l°,ma,rie,1
mo,mo,ho,phi,1
voi,vwa,a,si,7
mer,mER,"",veil,4
tie,ti,nan,"",3
ti,ti,les,nien,2
lées,je,pil,"",8
taux,to,quin,"",1
pon,p§,é,gé,1
qui,ki,qui,ne,1
pro,pRo,im,duc,1
coin,kw5,"",cé,2
sa,sa,grais,"",1
fi,fi,"",lât,1
hau,o,"",teur,1
sa,za,pe,"",2
plo,splo,ex,se,8
prê,pRE,"",ta,1
ma,ma,sa,ras,1
cil,si,va,lants,1
si,zi,vi,tez,1
mant,m@,pâ,"",1
san,i,blouis,te,1
mi,mi,sé,nées,2
chaus,So,re,saient,1
lon,l§,al,ge,7
cé,se,con,dée,1
bê,bE,em,tait,1
bits,bit,"","",1
bluf,bl9,"",fa,1
ca,ka,ti,tion,3
sons,z§,rai,"",6
ca,ka,"",lem,2
cro,kRo,es,qué,1
pé,pe,"",né,27
chop,So,a,paient,1
bel,bE,re,ler,1
dée,de,sol,"",1
top,tOp,"","",1
chons,S§,fi,"",2
ments,m@,gne,"",10
tion,sjo,frac,nées,2
ti,ti,cons,tué,3
lan,l@,"",geait,1
pro,pRo,ap,chions,1
re,jER,briè,"",1
pren,pR@,com,drait,1
geait,ZE,va,"",2
cil,si,os,lez,1
bé,be,flam,"",2
sout,zu,ré,"",1
lé,le,bal,"",6
bâil,ba,"",laient,1
te,t°,prun,ras,1
ni,ni,ma,pu,20
mi,mi,"",tré,2
ri,Ri,cu,sant,2
rons,R§,ti,"",18
lon,lo,bou,nant,2
ver,vER,"",diers,1
mai,mE,"",grit,1
mi,mi,cri,ner,3
promp,pR§p,im,tus,2
le,l°,pel,rais,3
fi,fi,"",la,6
po,po,"",sées,2
fer,fER,ren,mée,3
é,e,"",dits,1
die,di,tu,rez,1
chi,Si,fraî,rait,1
souil,su,"",lant,1
pe,p°,é,lais,1
mar,ma,a,ré,1
la,la,"",més,2
se,z°,ni,ra,2
léa,le,é,tes,1
ce,s°,fa,rons,1
dir,diR,our,"",1
neur,n9R,geon,"",1
tez,te,zo,"",1
é,e,"",mail,13
to,to,au,da,2
a,a,"",mu,33
mes,im,béî,"",1
gei,ZE,"",gnant,2
so,so,bous,lés,1
ob,Op,"",tiens,1
dions,dj§,var,"",1
nées,ne,bor,"",2
ve,v°,che,lus,1
tri,tRi,"",buts,1
ma,ma,ca,"",1
tait,tE,tec,"",1
ca,ka,"",hiers,1
gré,gRe,a,geaient,1
po,po,tem,rains,2
lars,laR,dol,"",2
ga,ga,dé,gez,1
lait,lE,tel,"",1
glait,glE,bi,"",1
sayis,se,es,te,1
bu,by,fa,lez,1
nant,n@,li,"",5
tri,tRi,dis,buent,2
pa,pa,fri,"",1
ter,te,fi,"",2
pier,pje,pé,"",1
bal,ba,em,ler,1
hur,yR,"",lât,1
réo,os,té,sco,1
chions,Sj§,lâ,"",1
tra,tRa,"",ver,33
nu,ny,té,"",1
bar,ba,"",reaux,1
bloui,blu,é,rent,1
le,l°,tè,ront,1
nu,ny,dé,de,2
bi,bi,im,bée,2
mexi,mEk,"",cai,4
di,di,in,gnant,1
liés,lje,sal,"",1
plan,pl@,"",chers,1
ru,Ry,"",ché,2
cu,ky,é,meur,1
dez,de,lu,"",1
vrées,vRe,cui,"",2
més,me,fa,"",7
ter,te,dé,rées,2
bor,bOR,a,dons,1
pla,pla,re,cez,1
qua,ka,sur,li,2
geons,Z§,ri,"",2
vi,vi,ré,sé,1
gres,gRe,trans,sée,1
nouit,nwi,pa,"",1
tions,tj§,sis,"",5
tau,to,res,rée,1
cée,se,mis,"",1
chait,SE,lyn,"",1
ver,vER,"",set,1
bar,baR,bom,de,9
go,go,"",thas,1
cin,s5,"",glé,3
san,z@,pe,tit,1
cram,kR@,"",pon,15
ma,ma,"",la,11
gra,gRa,"",mi,2
pi,pi,rem,lé,1
qui,ki,es,ve,2
rait,RE,ro,"",1
rau,Ro,ta,dé,1
sée,ze,tou,"",1
dits,di,é,"",1
raient,RE,fre,"",1
gê,ZE,"",niez,1
gnant,N@,oi,"",1
de,d°,vi,ront,1
doc,dOk,"",to,3
ver,vER,dé,nies,1
ser,sER,dis,té,1
dres,dRe,"",sés,2
quiez,kje,pli,"",1
u,y,"",si,11
é,e,"",léa,1
blan,bl@,"",che,3
chons,S§,ni,"",3
ge,Z°,lar,ment,1
cer,sER,"",tain,2
gne,N°,sei,rai,2
gis,lo,lo,te,4
qué,ke,bli,"",1
bri,bRi,"",dé,2
frai,fRe,"",sier,1
po,po,"",mé,3
chers,Se,ro,"",1
pai,pE,pom,"",1
ber,bER,"",ger,1
by,bi,rug,men,1
li,li,ra,sions,1
to,to,"",quard,2
bord,bOR,dé,"",1
bla,bla,dé,té,4
tail,ta,cu,leur,1
ve,v°,re,nant,3
tu,ty,ven,ré,2
sym,s5,"",pa,19
po,po,sa,ni,2
li,li,via,sez,1
ri,Ri,ce,saie,1
pec,pEk,ins,tait,1
me,sizm,roxys,"",1
muais,m8E,re,"",1
cre,kR°,"",vés,1
gé,Ze,"",mis,13
ra,Ra,cou,gées,3
ti,ti,es,vaux,1
gri,gRi,"",saient,1
i,i,"",vro,3
nei,ne,en,gées,2
rais,RE,leur,"",1
vi,vi,"",gi,3
es,Es,"",pa,29
nouil,nu,ge,lât,1
ting,tiG,lis,"",1
taient,tE,gret,"",1
lap,lap,col,se,1
ras,Ra,pé,"",1
naient,nE,jeu,"",1
fré,fRe,"",ta,1
ses,se,ob,sion,3
de,d°,rô,rai,1
pa,pa,"",cha,1
ta,ta,zon,le,1
se,s°,bruis,ment,1
pan,p@,chim,zés,1
siez,zje,pou,"",1
tor,tOR,"",til,19
bou,bu,a,nas,1
mu,my,"",tât,1
man,m@,"",gée,1
tum,tOm,sep,"",1
çant,s@,for,"",3
ton,t§,glou,"",2
cur,kyR,in,vés,2
lé,le,va,"",4
ler,je,zouil,"",1
gru,gRy,"",meaux,1
frée,fRe,pif,"",1
bled,blEd,"","",1
cé,se,gen,"",1
tée,te,glan,"",2
ta,ta,ni,li,1
lo,lo,"",geaient,1
man,m@,"",dé,2
lé,le,col,gien,1
çons,s§,sau,"",1
drouil,dRu,va,lait,1
tam,t@,é,bot,1
tur,tyR,mas,bée,1
co,ko,"",coon,1
te,t°,sis,ront,3
tons,t§,pié,"",2
rins,R5,flo,"",1
te,t°,cen,rait,1
te,t°,li,rais,1
sé,se,in,rez,1
lo,lo,sio,gie,4
ceurs,s9R,fon,"",2
ciens,sj5,li,"",2
che,S°,lé,rai,1
té,te,comp,"",4
par,paR,"",che,9
ser,zER,dé,teur,1
joui,Zwi,"",rons,1
ler,le,po,"",1
nas,na,chi,"",1
rer,Re,sau,"",1
cet,sE,fa,tés,1
geurs,Z9R,pié,"",1
chan,S@,re,té,1
dres,dRE,"",sai,1
tans,t@,"","",1
ra,Ra,droie,"",1
quil,ki,"",lons,1
lar,laR,tre,dé,1
tée,te,domp,"",3
te,Et,caè,"",1
bâil,ba,"",lant,2
drés,dRe,fon,"",2
li,li,ve,rait,1
se,is,haïs,"",1
col,ko,"",lées,1
ges,ZEs,to,tion,1
rou,Ru,a,sal,1
bou,bu,"",clée,2
câ,ka,"",blée,2
tue,ty,ba,"",1
tion,sjo,fec,nées,2
ren,R@,"",flant,1
grie,gRi,ai,"",3
re,R°,coeu,ments,1
ta,ta,cré,cé,1
cu,ky,lo,teurs,1
ab,a,"",ba,1
teil,tE,bou,lon,1
ur,yR,"",geait,1
lu,ly,ral,mais,1
dé,de,si,raux,1
bris,bRi,som,saient,1
lec,lEk,dé,tais,1
se,s°,gras,ment,1
que,k°,plan,ras,1
re,R°,"",tient,1
tait,tE,trus,"",1
rou,Ru,"",gir,1
trous,tRu,re,sant,1
tas,ta,li,"",2
mi,mi,dé,que,1
mer,mER,sub,gea,1
leurs,j9R,bouil,"",3
va,va,"",git,1
é,e,"",grap,1
nat,na,gre,"",2
tif,tif,ven,"",2
tron,tRo,pa,nés,1
pa,pa,"",gnon,1
man,m@,"",dats,1
ta,ta,co,tion,1
tiau,tjo,flû,"",1
din,d5,gra,"",1
bait,bE,bi,"",1
a,a,"",grip,16
gneur,N9R,ga,"",1
al,a,"",lé,42
lard,jaR,pail,"",2
chau,So,é,de,1
li,li,vo,tion,1
car,kaR,"",bets,1
na,jo,crayon,ge,1
ti,ti,ves,ront,1
flait,flE,sou,"",1
dras,dRa,join,"",2
voyeu,vwa,"",ris,1
gus,gys,au,tins,1
gnaient,NE,gui,"",1
rait,RE,mo,"",2
syl,si,"",la,1
se,s°,ras,ra,1
dé,de,"",sen,36
mê,mE,dé,lant,3
te,t°,tre,nons,1
rés,Re,pé,"",11
su,sy,ex,daient,1
chaient,SE,van,"",1
pés,pe,ty,"",5
ge,Z°,ga,rais,4
fu,fy,ni,gés,1
mê,mE,"",me,1
croi,kRwa,"",saient,1
té,te,prun,"",2
meil,mE,som,lée,2
sé,se,sen,"",3
pê,pE,dé,che,2
pée,pe,tra,"",2
pée,pe,râ,"",2
lan,l@,bel,"",1
hui,8i,"",lés,2
bar,baR,dé,quaient,1
cer,sER,"",tains,3
dant,d@,far,"",1
quait,kEt,ta,"",1
vré,vRe,se,"",1
ro,e,aé,dro,2
voi,vwa,pri,sait,1
fai,fE,af,rai,1
en,@,"",vions,1
ce,s°,fi,laient,1
li,li,so,tai,1
cul,kyl,oc,ta,3
cra,kRa,lu,tif,1
nant,n@,mo,"",2
ni,ni,re,flant,2
k,klak,"",laxons,1
ba,ba,fal,las,1
do,do,"",dé,1
fian,fj@,"",çais,1
ne,n°,can,lés,1
brouil,bRu,ti,lard,1
meur,m9R,cla,"",1
péen,pe,clo,ne,1
ta,ta,do,tion,1
drog,dROg,"",man,1
gi,Zi,"",boyeu,2
trai,tRE,mal,tez,1
ceau,so,pu,"",2
ren,R@,"",fle,2
bi,bi,su,ra,1
sée,ze,po,"",40
jas,Zas,"",mins,1
cier,sje,so,"",2
cun,k1,au,"",2
pât,pa,tra,"",1
plé,ple,sup,ments,1
ront,R§,che,"",35
prou,pRu,ap,va,1
lus,ly,me,"",1
gu,gy,ai,"",3
deur,d9R,ven,"",2
tié,tje,"",die,1
si,si,clas,fient,1
cu,ky,"",rie,1
ra,Rap,pa,pluie,1
tro,tRo,"",qués,1
fi,fi,né,ciant,1
na,na,zi,"",1
paie,pE,"","",2
chia,Sja,"",dé,1
opi,pi,n,nées,1
té,te,ler,"",2
lé,je,til,"",13
ni,ni,ti,"",1
los,jo,ril,"",1
pés,pe,do,"",1
ton,t§,ga,"",1
doig,dwa,"",ta,1
gre,gR°,sau,nus,1
con,k§,"",grue,1
ma,ma,dom,ger,2
niai,njE,cu,re,1
pri,pRi,ré,mée,1
ri,Ri,ter,ble,1
po,po,tri,tait,1
bos,bo,la,"",2
tan,ta,"",ner,1
trem,tR@,"",ble,9
bus,bys,ri,"",1
sées,ze,cu,"",4
jau,Zo,"",nie,2
chan,S@,"",giez,1
ti,ti,des,na,5
raient,RE,plie,"",3
saie,sE,es,ront,2
va,va,pré,lu,1
lans,l@,bi,"",1
sa,sa,ras,siées,1
rom,R§,"",pit,1
ter,te,fle,"",1
que,k°,mi,ment,6
mé,me,glo,raient,1
sul,syl,"",fo,2
pas,pa,sym,"",1
ca,ka,mi,cées,1
gne,N°,ro,rie,1
tés,te,det,"",3
le,l°,col,rez,1
me,m°,mo,ries,1
cé,se,ti,mie,1
las,la,"",sons,1
li,li,ta,sa,9
ra,Ra,"",flant,1
la,la,sou,gée,1
com,k§,"",plus,1
mi,mi,li,nés,2
cas,ka,tra,sant,1
mous,mu,"",sants,1
dio,djo,ra,ac,2
rez,Re,boi,"",1
dés,de,ai,"",1
re,R°,"",dit,1
tées,te,ven,"",5
ta,ta,é,lât,1
lons,l§,tu,"",2
tai,tE,dop,"",1
men,m@,gle,tant,1
lyn,l5,"",cher,1
ploi,splwa,ex,te,4
son,so,fris,na,1
noirs,nwaR,mi,"",1
ge,Z°,tra,rais,1
ve,wejv,new wa,"",1
li,li,ga,sa,6
pe,p°,rap,ler,1
re,R°,ti,bou,3
bou,bu,bam,"",1
ho,O,"",ckey,1
len,l@,a,ti,1
sais,zE,ri,"",5
teur,t9R,tra,"",3
man,man,gy,"",1
don,do,mi,ner,1
cu,ky,"",ver,1
bis,bi,four,sait,1
neurs,n9R,gor,"",1
to,to,ma,gra,2
ques,jak,dria,"",2
dants,d@,mi,"",1
se,s°,clas,rai,1
ni,ni,a,mo,2
pré,pRe,ap,ciait,1
sio,zjo,phy,thé,1
te,t°,fes,ront,2
tes,tEs,pro,tai,1
na,jo,clayon,ge,1
blée,ble,ta,"",3
drey,dRE,"",fu,1
la,la,"",pé,1
cou,ku,"",chée,2
cus,kys,do,"",1
ta,ta,no,ble,1
va,va,pri,tif,1
ra,Ra,a,go,2
seur,s9R,cen,"",4
seaux,so,"","",1
roxys,ROk,pa,ti,2
pli,pli,"","",1
fec,fEk,dé,tion,1
crés,kRe,su,"",3
vul,vyl,ré,saient,1
bé,be,"",lu,1
ri,Ri,do,sant,2
miers,mje,bau,"",1
ge,Z°,nei,ra,1
blard,blaR,rou,"",2
pli,pli,com,ront,1
pées,pe,lop,"",6
quois,kwa,ro,"",2
trui,tR8i,ins,ra,1
dis,di,mau,sais,1
lé,les,té,scrip,2
pé,pe,"",ren,1
sée,ze,do,"",1
fron,fR§,"",ta,4
no,no,con,ta,2
le,j°,brail,ment,1
tés,te,bec,"",2
vo,vo,pi,tants,1
ne,n°,ron,ries,1
fiez,fje,ni,"",3
geait,ZE,tau,"",1
plen,pl@,res,di,3
rons,R§,vre,"",2
cro,kRo,mi,film,1
mo,mo,tri,niaux,1
plai,plE,"",gnais,1
chon,S§,tor,"",1
mit,mi,vo,"",1
fré,fRe,"",tait,1
til,ti,tor,lard,1
veu,v9,a,glons,1
poin,pw5,"",tés,2
teur,t9R,san,"",2
char,SaR,"",nue,1
mi,mi,"",nia,6
lo,lo,cho,gie,3
va,va,o,rio,1
dia,dja,ra,teurs,1
rie,Ri,fre,"",1
gnais,NE,di,"",1
bril,bRi,"",lions,1
cé,se,pro,de,8
ven,v@,pro,çal,1
wag,vag,"",né,1
bou,bu,"",chots,1
que,k°,pi,tait,1
sée,se,bous,"",1
gi,Zi,lar,rez,1
sor,zOR,ré,ba,1
gi,Zi,lon,tu,3
bou,bu,é,le,2
geur,Z9R,va,"",2
mions,mj§,for,"",2
chou,Su,chou,te,1
te,t°,ci,ras,4
cou,ku,"",rants,2
pe,p°,pa,tier,2
pa,pa,"",so,1
pin,p5,"",té,1
té,te,cli,"",1
dis,di,plen,"",1
bli,bli,ta,ra,2
gau,go,"",frée,2
rif,Rif,ché,"",1
queurs,k9R,vain,"",2
çant,s@,fon,"",3
gé,Ze,hé,liens,1
vez,ve,ri,"",2
ne,n°,li,ment,2
que,k°,sé,raient,1
ro,Ro,"",gnée,1
tions,sj§,sanc,"",1
lon,jo,bâil,nait,1
cri,kRi,ré,rai,1
dan,d@,ven,geait,1
je,Z°,dé,tée,1
di,di,clau,que,2
se,s°,dan,rons,1
mi,mi,gra,née,1
ble,bl°,qua,ment,2
mi,mi,mo,fiées,2
pan,p@,ré,drons,1
que,k°,cra,lins,1
re,R°,"",çue,2
tais,tE,mon,"",5
bla,bla,"",té,1
cu,ky,cur,ma,1
mies,mi,lo,"",1
don,do,ban,na,1
té,te,boî,"",2
cras,kRa,sen,ser,1
dât,da,gar,"",3
vraient,vRE,oeu,"",1
ma,ma,a,doue,2
li,li,"",rait,1
thés,te,"","",1
té,te,cer,"",4
che,S°,tou,raient,1
pre,pR°,sur,nait,1
ver,vER,"",dis,6
pé,pe,tu,rer,1
ter,te,cket,"",1
re,REs,"",strei,4
di,di,é,fia,1
li,li,sou,gnez,1
po,po,re,saient,1
lo,lo,"",vée,1
si,zi,dé,gnée,2
vre,vR°,li,ront,2
més,me,ni,"",4
fils,fis,"","",1
vant,v@,no,"",3
lons,l§,rô,"",1
dés,de,gar,"",4
fus,fy,in,"",1
coeur,k9R,tre,"",1
tra,tRa,né,tions,2
gnols,NOl,si,"",1
car,kaR,é,tions,1
lan,l@,cha,dée,1
re,R°,"",pus,1
lon,lo,ta,nés,2
gi,Zi,"",let,1
vrai,vRE,li,son,1
fri,fRi,souf,ront,1
ché,Se,mou,"",1
crée,kRe,an,"",2
tait,tE,vor,"",1
mu,my,"",gir,1
cla,kla,dé,rés,2
leux,l2,hou,"",1
ble,bl°,sem,rait,3
la,la,"",bels,1
vor,vOR,di,cions,1
cos,ko,ri,"",1
quets,kE,lo,"",1
thon,t§,py,"",1
tiez,tje,flot,"",1
pon,p§,res,dait,1
ris,Ri,pour,sais,1
che,S°,tou,ra,2
sion,sj§,ces,"",10
leurs,l9R,pâ,"",1
lon,l§,"",gions,1
pres,pRE,em,sa,1
chi,Si,flé,ront,1
te,st°,abs,nez,1
lai,lE,me,"",1
li,li,tia,té,6
trous,tRu,"",saient,1
ra,Ra,vé,"",2
cri,kRi,dé,vaient,1
ces,se,ter,seurs,1
na,na,go,le,1
gal,ga,"",li,1
gouil,gu,mar,lis,1
plus,plys,"","",1
rom,R§,cor,pis,1
ma,ma,dé,rient,1
ter,tER,in,nat,1
zzzz,z,"","",1
sié,sje,as,geaient,1
tre,tR°,fou,ment,1
lées,le,do,"",2
cleur,kl9R,gi,"",1
re,R°,"",çois,1
di,di,ron,"",4
li,li,mi,tait,1
ta,ta,en,chés,1
che,S°,cou,ments,1
gno,No,i,mi,4
fouet,fwE,"",tons,1
rous,Ru,"",sies,2
toas,tos,"",teur,1
ta,ta,di,tions,3
gi,Zi,"",sais,1
que,k°,lo,teau,1
den,d@,ca,cer,1
tée,te,jec,"",3
meu,m2,"",glait,1
bou,bu,a,che,1
chaient,SE,bou,"",3
lop,lo,ve,pons,2
ki,ki,ki,"",2
cif,sif,no,"",1
cuit,k8i,re,"",2
dis,di,"",lo,19
li,li,co,bri,1
ca,ka,"",po,8
cham,S@,"",pi,6
teur,t9R,jonc,"",1
niait,njE,"","",1
épui,p8i,n,sées,1
res,twaR,toi,"",5
ret,RE,fo,"",1
bi,bi,ha,tuaient,1
ré,Re,"",crés,1
dil,di,bour,lon,1
rou,Ru,"",leaux,1
cour,ku,"",roux,1
cher,Se,pé,"",1
se,s°,glis,riez,1
tuit,t8i,gra,"",1
nis,ni,pla,"",1
ve,v°,ba,ras,1
men,m@,ser,tez,1
nin,n5,mi,"",2
dait,dE,tor,"",1
tant,t@,bri,"",2
mi,mi,"",jo,13
na,na,cum,vi,1
chie,Si,"",rie,1
hé,de,ad,ra,1
rien,Rj@,so,tée,2
jus,Zys,"",ti,27
sion,zj§,ca,"",1
pré,pRe,im,voyan,2
t,tSa,"",chao,1
sis,si,gros,sants,1
vi,vi,"",te,1
man,m@,ai,tée,1
sa,sa,"",bin,1
sai,sE,des,sit,1
tez,te,ten,"",3
vel,vEl,"",vet,1
so,zo,be,gnant,1
gu,gy,fu,"",1
a,a,"",vouent,1
flées,fle,en,"",3
per,pER,trans,ce,2
ta,ta,"",blons,1
el,El,ré,"",2
fes,fEs,"",tin,1
ni,ni,lo,ser,1
flin,fl5,"",gués,1
pri,spRi,ex,mons,1
le,j°,gril,rions,1
ri,Ri,va,cieu,1
sée,se,dres,"",4
chez,Se,gâ,"",1
ra,Ra,né,teur,7
vé,ve,pra,"",3
gra,gRa,to,phia,1
hu,Ry,sur,main,2
gré,gRe,"",geois,1
bar,baR,em,quaient,1
don,do,fre,ner,1
ro,Ro,vé,lé,2
lec,lEk,é,ti,1
con,k§,"",tait,1
crip,kRip,pros,tion,1
gnait,NE,loi,"",1
frai,fRE,"",seur,1
mer,mER,é,gés,1
éthy,e,ly,lè,1
bats,ba,sab,"",1
se,s2z,boxeu,"",1
tit,ti,bâ,"",2
fran,fR@,"",çais,2
te,t°,pré,rait,1
nées,ne,ré,"",2
